taskType,dependencyCount,retryCount,workflowSize,previousDuration,actualDuration
EMAIL,0,2,8,6.74,12.68
DATABASE,5,1,3,23.05,36.91
REST,1,1,18,14.75,25.57
REST,0,3,9,5.33,17.11
COMPUTE,2,1,20,8.97,26.44
DATABASE,2,3,17,11.05,31.61
REST,4,2,14,5.8,20.22
EMAIL,3,1,13,17.13,27.3
DATABASE,3,2,18,13.1,31.1
EMAIL,0,1,9,14.91,21.46
DATABASE,2,1,10,2.05,15.76
EMAIL,4,1,14,27.01,37.25
COMPUTE,5,2,15,13.7,36.1
EMAIL,2,2,8,13.09,20.75
FILE,4,1,4,4.37,12.42
COMPUTE,4,3,3,23.38,45.07
EMAIL,0,1,11,21.85,27.44
DATABASE,1,3,11,16.22,33.51
COMPUTE,1,1,7,29.9,42.61
DATABASE,2,2,14,1.39,19.29
DATABASE,0,3,7,3.69,14.89
EMAIL,4,2,5,8.88,21.84
REST,4,3,11,26.61,42.5
FILE,0,2,19,5.92,16.82
EMAIL,4,2,16,3.31,17.28
COMPUTE,0,2,18,29.69,46.53
DATABASE,0,2,10,23.0,36.43
FILE,1,3,3,23.14,32.4
EMAIL,0,1,8,27.38,31.47
REST,2,2,14,19.39,33.5
COMPUTE,4,1,19,11.82,32.44
DATABASE,2,2,4,28.31,42.82
DATABASE,2,0,6,26.1,36.61
DATABASE,4,0,10,13.23,25.33
COMPUTE,0,0,11,13.96,24.01
DATABASE,5,1,12,8.02,27.91
DATABASE,5,3,12,13.19,35.52
COMPUTE,2,3,12,21.68,43.02
COMPUTE,1,1,5,2.4,17.23
COMPUTE,3,0,5,22.64,36.31
REST,1,0,19,9.35,18.93
EMAIL,3,3,9,23.55,38.39
EMAIL,4,2,6,18.12,30.03
COMPUTE,5,3,14,26.14,51.93
EMAIL,0,3,17,1.68,11.83
EMAIL,4,1,6,14.43,23.35
EMAIL,2,3,16,17.71,30.96
DATABASE,5,0,3,5.05,19.31
FILE,2,3,20,25.07,40.01
COMPUTE,3,1,11,22.72,42.25
FILE,3,3,17,26.91,42.77
EMAIL,0,3,7,18.25,26.79
EMAIL,0,3,12,6.13,15.97
REST,2,0,4,29.7,33.99
FILE,5,2,17,23.28,40.19
EMAIL,5,1,18,18.34,31.32
FILE,0,1,15,10.04,17.46
DATABASE,4,3,4,12.35,31.38
FILE,4,1,17,9.41,24.5
COMPUTE,3,2,11,21.91,41.4
REST,5,1,4,15.58,27.45
DATABASE,0,2,8,24.89,36.12
FILE,5,3,17,20.19,37.14
FILE,0,2,10,22.33,29.33
EMAIL,4,0,3,10.93,19.71
REST,5,1,5,22.68,36.95
FILE,1,2,16,13.68,23.26
DATABASE,0,0,13,18.92,27.64
REST,2,0,5,18.8,25.38
FILE,2,1,5,14.26,18.95
DATABASE,0,2,15,22.91,34.98
EMAIL,1,2,18,26.33,35.3
COMPUTE,2,1,18,7.96,27.8
REST,5,1,13,15.41,31.58
EMAIL,1,0,5,25.76,29.15
REST,4,2,13,8.16,24.68
REST,3,0,12,9.77,18.26
FILE,0,2,15,19.41,27.81
DATABASE,3,1,14,7.09,21.75
EMAIL,2,2,6,26.3,34.16
DATABASE,1,3,4,6.12,17.97
DATABASE,1,2,11,20.49,33.69
FILE,1,1,17,12.01,22.47
